date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:12:21	11353/11353	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:11:38%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/info/payment/	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/info/payment/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/)
09:12:21	10592/10592	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:11:38%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/info/delivery/	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/info/delivery/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/)
09:12:21	12745/12745	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:05%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/info/privacy/	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/info/privacy/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/)
09:12:23	10740/10740	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:25%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/info/garauntee/	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/info/garauntee/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/)
09:12:23	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-58101e06ab5f3%22	https://printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.eot	(from https://printmyphotosgrahamstown.photofrog.co.za/style/render)
09:12:23	15073/15073	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2007:12:24%20GMT	https://printmyphotosgrahamstown.photofrog.co.za/info/testimonials/	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/info/testimonials/index.html	(from https://printmyphotosgrahamstown.photofrog.co.za/)
09:12:24	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f6f-58101cf93f912%22	https://printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regulard41d.eot	(from https://printmyphotosgrahamstown.photofrog.co.za/style/render)
09:12:25	23320/23320	---M--	200	added ('OK')	application/font-woff	etag:%225b18-58101dfe18ec8%22	https://printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.woff	(from https://printmyphotosgrahamstown.photofrog.co.za/style/render)
09:12:25	41280/41280	---M--	200	added ('OK')	application/font-sfnt	etag:%22a140-58101e06ab5f3%22	https://printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.ttf	(from https://printmyphotosgrahamstown.photofrog.co.za/style/render)
09:12:26	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:%22f5cf-58101cf93f912%22	https://printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/SoSecEng2/printmyphotosgrahamstown.photofrog.co.za/ui/bootswatch-3.2.0/fonts/glyphicons-halflings-regular.svg	(from https://printmyphotosgrahamstown.photofrog.co.za/style/render)
